Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 2005;7730705
Ambos sexos;Total;02 Arag�n;1 de enero de 2005;1255078
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 2005;1062755
Ambos sexos;Total;04 Balears, Illes;1 de enero de 2005;940124
Ambos sexos;Total;05 Canarias;1 de enero de 2005;1853155
Ambos sexos;Total;06 Cantabria;1 de enero de 2005;554690
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 2005;2482805
Ambos sexos;Total;08 Castilla  La Mancha;1 de enero de 2005;1874004
Ambos sexos;Total;09 Catalu�a;1 de enero de 2005;6870818
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 2005;4567166
Ambos sexos;Total;11 Extremadura;1 de enero de 2005;1070094
Ambos sexos;Total;12 Galicia;1 de enero de 2005;2720679
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 2005;5866186
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 2005;1313496
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 2005;584367
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 2005;2115262
Ambos sexos;Total;17 Rioja, La;1 de enero de 2005;298050
Ambos sexos;Total;18 Ceuta;1 de enero de 2005;71983
Ambos sexos;Total;19 Melilla;1 de enero de 2005;64914
