Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 2000;7285993
Ambos sexos;Total;02 Arag�n;1 de enero de 2000;1200200
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 2000;1068287
Ambos sexos;Total;04 Balears, Illes;1 de enero de 2000;817313
Ambos sexos;Total;05 Canarias;1 de enero de 2000;1659062
Ambos sexos;Total;06 Cantabria;1 de enero de 2000;533417
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 2000;2472869
Ambos sexos;Total;08 Castilla - La Mancha;1 de enero de 2000;1742456
Ambos sexos;Total;09 Catalu�a;1 de enero de 2000;6283101
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 2000;4103816
Ambos sexos;Total;11 Extremadura;1 de enero de 2000;1060030
Ambos sexos;Total;12 Galicia;1 de enero de 2000;2702471
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 2000;5329606
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 2000;1169114
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 2000;548379
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 2000;2084535
Ambos sexos;Total;17 Rioja, La;1 de enero de 2000;273828
Ambos sexos;Total;18 Ceuta;1 de enero de 2000;70855
Ambos sexos;Total;19 Melilla;1 de enero de 2000;64851
